,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
1,nytimes,0.0,0.825,0.175,-0.5574,2018-08-29 04:32:02+00:00,-1
2,nytimes,0.507,0.493,0.0,0.8519,2018-08-29 04:17:03+00:00,-2
3,nytimes,0.0,1.0,0.0,0.0,2018-08-29 04:03:04+00:00,-3
4,nytimes,0.0,0.896,0.104,-0.296,2018-08-29 03:56:40+00:00,-4
5,nytimes,0.121,0.728,0.15,-0.1531,2018-08-29 03:47:02+00:00,-5
6,nytimes,0.0,0.833,0.167,-0.4588,2018-08-29 03:32:04+00:00,-6
7,nytimes,0.0,1.0,0.0,0.0,2018-08-29 03:22:21+00:00,-7
8,nytimes,0.093,0.828,0.079,0.1027,2018-08-29 03:17:06+00:00,-8
9,nytimes,0.0,1.0,0.0,0.0,2018-08-29 03:03:04+00:00,-9
10,nytimes,0.0,0.865,0.135,-0.4215,2018-08-29 02:51:06+00:00,-10
11,nytimes,0.0,0.805,0.195,-0.5574,2018-08-29 02:41:00+00:00,-11
12,nytimes,0.0,1.0,0.0,0.0,2018-08-29 02:31:05+00:00,-12
13,nytimes,0.0,1.0,0.0,0.0,2018-08-29 02:17:02+00:00,-13
14,nytimes,0.0,1.0,0.0,0.0,2018-08-29 02:02:03+00:00,-14
15,nytimes,0.0,1.0,0.0,0.0,2018-08-29 01:51:05+00:00,-15
16,nytimes,0.0,1.0,0.0,0.0,2018-08-29 01:42:06+00:00,-16
17,nytimes,0.0,1.0,0.0,0.0,2018-08-29 01:33:00+00:00,-17
18,nytimes,0.0,1.0,0.0,0.0,2018-08-29 01:21:08+00:00,-18
19,nytimes,0.0,0.801,0.199,-0.6395,2018-08-29 01:17:05+00:00,-19
20,nytimes,0.0,1.0,0.0,0.0,2018-08-29 01:02:07+00:00,-20
21,nytimes,0.065,0.813,0.122,-0.34,2018-08-29 00:51:50+00:00,-21
22,nytimes,0.224,0.776,0.0,0.5994,2018-08-29 00:47:01+00:00,-22
23,nytimes,0.0,1.0,0.0,0.0,2018-08-29 00:32:02+00:00,-23
